=============================================================================
                DEEP LEARNING TRAINING REPORT: MEDICAL SEGMENTATION
=============================================================================
Date Generated: November 29, 2025
Researcher:     Arash Amadehtaheri

MODEL CONFIGURATION
-------------------
Architecture:    U-Net++ (Nested U-Net)
Encoder:         EfficientNet-B0 (Pre-trained)
Parameters:      2.60 Million
Total Samples:   2,997 (Polygon Samples)
Total Epochs:    25

SUMMARY OF RESULTS
------------------
Best Epoch:      22
Best Dice Score: 60.93%
Best IoU:        48.84%
Best HD95:       78.68 (Significantly reduced from 266.65)

=============================================================================
                            DETAILED TRAINING LOG
=============================================================================
Epoch  |   Loss   |  Dice Score  |    IoU     |   HD95    |    Status
-------|----------|--------------|------------|-----------|--------------
  1    |  0.5468  |    0.3258    |   0.2094   |  266.65   |  Model Saved
  2    |  0.4584  |    0.4654    |   0.3305   |  132.83   |  Model Saved
  3    |  0.4014  |    0.5295    |   0.3953   |  111.77   |  Model Saved
  4    |  0.3085  |    0.5458    |   0.4140   |   91.01   |  Model Saved
  5    |  0.2442  |    0.5780    |   0.4490   |   91.72   |  Model Saved
  6    |  0.2176  |    0.5629    |   0.4430   |   81.84   |
  7    |  0.2051  |    0.5746    |   0.4533   |   84.08   |
  8    |  0.1964  |    0.5911    |   0.4657   |   84.89   |  Model Saved
  9    |  0.1915  |    0.5809    |   0.4586   |   82.31   |
  10   |  0.1824  |    0.5906    |   0.4644   |   83.11   |
  11   |  0.1772  |    0.5603    |   0.4461   |   84.12   |
  12   |  0.1769  |    0.5936    |   0.4723   |   79.21   |  Model Saved
  13   |  0.1750  |    0.5923    |   0.4708   |   83.25   |
  14   |  0.1725  |    0.5554    |   0.4457   |   81.09   |
  15   |  0.1699  |    0.5832    |   0.4678   |   83.54   |
  16   |  0.1615  |    0.6011    |   0.4804   |   78.22   |  Model Saved
  17   |  0.1605  |    0.6045    |   0.4811   |   81.08   |  Model Saved
  18   |  0.1568  |    0.5868    |   0.4705   |   77.88   |
  19   |  0.1546  |    0.5806    |   0.4656   |   78.24   |
  20   |  0.1552  |    0.5991    |   0.4793   |   80.63   |
  21   |  0.1510  |    0.5936    |   0.4771   |   77.50   |
  22   |  0.1462  |    0.6093    |   0.4884   |   78.68   |  ** BEST **
  23   |  0.1407  |    0.5921    |   0.4744   |   76.95   |
  24   |  0.1411  |    0.6054    |   0.4840   |   80.24   |
  25   |  0.1382  |    0.6025    |   0.4832   |   78.97   |
=============================================================================
End of Log.
